objava,datum,mjesec,godina,jezik,tema,tip,svidanja,komentari,sentiment_score,sentiment_label,pozitivnih_rijeci,negativnih_rijeci,duljina_znakova,duljina_rijeci,duljina_recenica,ttr_objava,tekst,tekst_en
11,2026-04-08,2026-04-01,2026,hr,ostalo,ostalo,3,0,0,neutralan,NA,NA,19,2,0,NA,Nazvati na 00385915673336,Call 00385915673336
12,2026-04-07,2026-04-01,2026,hr,obrtnici_usluge,pitanje_potreba,2,1,-3,negativan,1,4,330,66,5,0.7868852459016393,Jel zna netko kakav auspuh servis u Copenhagenu ili okolici? Zadnji lonac mi se odvojio. Lonac je kao nov ali cijev koja dolazi prema njemu na spoju je bila losa Bio sam kod mehanicara ali oni nemaju extra cijevi za izbaciti losi dio i navariti novu Zato pitam za auspuh servis. Hvala,"Does anyone know of an exhaust service in Copenhagen or the surrounding area? My last pot came off. The pot is like new, but the pipe that comes to it at the joint was bad. I went to the mechanic, but they don't have extra pipes to throw out the bad part and make a new one. That's why I'm asking about the exhaust service. Thanks"
13,2026-04-06,2026-04-01,2026,hr,transport_putovanja,pitanje_potreba,2,19,2,pozitivan,2,0,307,62,6,0.82,"Dobro vece!! Jedno pitanje kako doci do Malmö airport 3 nas je, a da nije Neptun bus. Pokušala sam bukirat online, ali piše da su bukirani. Zvala sam i rekli su mi da ih nazovem sutra da vide što mogu napraviti. Putujem ovaj petak let je u 9 navecer. Svaka informacija je dobro došla. Hvala","Good evening!! One question is how to get to Malmö airport 3 of us without the Neptun bus. I tried to book online, but it says that they are booked. I called and they told me to call them tomorrow to see what they can do. I am traveling this Friday, the flight is at 9 pm. Any information is welcome. Thanks"
14,2026-04-06,2026-04-01,2026,en,obrtnici_usluge,pitanje_potreba,0,0,4,pozitivan,5,1,616,111,6,0.7011494252873564,"Hej ekipa..ako netko trazi posao ! Topla preporuka @The Goat Vesterbro Torv . If you love working in a fast-paced environment, enjoy interacting with people, and aren’t afraid to get hands-on behind the bar and on the floor, we want you! What we’re looking for: • Positive attitude & team spirit • Ability to alternate bar and service • Great customer service skills What you’ll do: • Prepare and serve drinks behind the bar • Take orders and serve guests on the floor • Create a welcoming atmosphere Start: ASAP Contact us at workatthegoat@gmail.com, on the phone +45 20 97 33 73 or in person if you want to pop by!","Hej ekipa..ako netko trazi posao ! Topla preporuka @The Goat Vesterbro Torv . If you love working in a fast-paced environment, enjoy interacting with people, and aren’t afraid to get hands-on behind the bar and on the floor, we want you! What we’re looking for: • Positive attitude & team spirit • Ability to alternate bar and service • Great customer service skills What you’ll do: • Prepare and serve drinks behind the bar • Take orders and serve guests on the floor • Create a welcoming atmosphere Start: ASAP Contact us at workatthegoat@gmail.com, on the phone +45 20 97 33 73 or in person if you want to pop by!"
15,2026-03-28,2026-03-01,2026,hr,hrana_prodaja,ostalo,20,27,2,pozitivan,2,0,177,34,3,0.8571428571428571,Dozvolite nam da mi brinemo o desertu dok vi uzivate sa najmilijima za Uskrsnje praznike! Podsecamo Vas da porudzbine za kolace primamo do 08.04. Za sve informacije pisite nam u DM.,Let us take care of the dessert while you enjoy the Easter holidays with your loved ones! We remind you that we accept orders for cakes until April 8. DM us for all information.
16,2026-03-27,2026-03-01,2026,hr,stanovanje,pitanje_potreba,3,16,3,pozitivan,3,0,516,90,6,0.6533333333333333,"Tražim apartman u Copenhagenu 15.8-12.9 Pozdrav svima, studentica sam zadnje godine medicine u Zagrebu te na ljeto sudjelujem na internshipu u Copenhagenu. Stoga, tražim apartman ili sobu u gradu u razdoblju 15.8-12.9. Bilo bi odlično da je lokacija dobro povezana javnim prijevozom ili u blizini Rigshospitalet i Sveučilišta. Ukoliko sami nudite smještaj ili poznajete nekoga, slobodno javite. Unaprijed hvala","I'm looking for an apartment in Copenhagen 15.8-12.9 Hello everyone, I'm a student of medicine in the last year in Zagreb and I'm participating in an internship in Copenhagen in the summer. Therefore, I am looking for an apartment or a room in the city in the period August 15-September 12. It would be great if the location was well connected by public transport or close to Rigshospitalet and the University. If you offer accommodation yourself or know someone who does, feel free to let us know. Thanks in advance"
17,2026-03-31,2026-03-01,2026,hr,vjera_zajednica,ostalo,26,5,1,pozitivan,2,1,306,52,4,0.9523809523809523,"Pozdrav svima! Ponovno ćemo imati svetu misu na hrvatskom jeziku u Aalborgu. Ponedjeljak, 6. travnja 2026. (Uskrsni ponedjeljak) Skt. Marie Kirke, Kastetvej 1, 9000 Aalborg Raspored: 15:00 – Mogućnost za ispovijed 15:30 – Sveta misa 16:30 – 18:00 – Druženje uz kavu i kolače Radujemo se susretu!","Hello everyone! We will again have a holy mass in the Croatian language in Aalborg. Monday, April 6, 2026 (Easter Monday) Skt. Marie Kirke, Kastetvej 1, 9000 Aalborg Schedule: 15:00 - Confession opportunity 15:30 - Holy Mass 16:30 - 18:00 - Socializing with coffee and cakes We look forward to meeting you!"
18,2026-04-02,2026-04-01,2026,da,dogadjaji_promocija,ostalo,1,0,0,neutralan,NA,NA,20,6,0,1,Åbent alle dage 9 - 21,Open all days 9 - 21
19,2026-03-31,2026-03-01,2026,hr,transport_putovanja,obavijest,5,0,1,pozitivan,1,0,129,23,2,1,Poklanjam avionsku kartu Budimpešta - Kopenhagen. Let je u utorak 7.4.2026 u 6:30. Pozdrav svima i sretan Uskrs,I am giving away a plane ticket Budapest - Copenhagen. The flight is on Tuesday 7/4/2026 at 6:30. Hello everyone and happy Easter
20,2026-03-30,2026-03-01,2026,en,obrtnici_usluge,ponuda_oglas,1,0,11,pozitivan,11,0,1088,171,6,0.7244094488188977,"At Brdr. Dan Værksted, we are busy and looking for a skilled and motivated auto mechanic to join our team – with immediate start. About the job: You will be part of a modern and professional workshop focused on quality, efficiency, and customer satisfaction. We work with all types of vehicles – including electric and hybrid cars. Your responsibilities: • Service and repair of passenger cars • Troubleshooting and diagnostics • Preparing cars for sale and leasing • General maintenance and servicing ‍ We expect: • You are a trained/qualified auto mechanic • You can work independently and take responsibility • Experience with diagnostic tools is an advantage • You are reliable and hold a valid driver’s license We offer: • Full-time position • Good working conditions and modern equipment • Competitive salary based on qualifications • Opportunity for development and training (incl. EV) Location: Hundested / Frederikssund / Hillerød (Denmark) Application: Send your application and CV as soon as possible to: Dan@brdr-danbiler.dk Or contact us directly for an informal conversation","At Brdr. Dan Værksted, we are busy and looking for a skilled and motivated auto mechanic to join our team – with immediate start. About the job: You will be part of a modern and professional workshop focused on quality, efficiency, and customer satisfaction. We work with all types of vehicles – including electric and hybrid cars. Your responsibilities: • Service and repair of passenger cars • Troubleshooting and diagnostics • Preparing cars for sale and leasing • General maintenance and servicing ‍ We expect: • You are a trained/qualified auto mechanic • You can work independently and take responsibility • Experience with diagnostic tools is an advantage • You are reliable and hold a valid driver’s license We offer: • Full-time position • Good working conditions and modern equipment • Competitive salary based on qualifications • Opportunity for development and training (incl. EV) Location: Hundested / Frederikssund / Hillerød (Denmark) Application: Send your application and CV as soon as possible to: Dan@brdr-danbiler.dk Or contact us directly for an informal conversation"
21,2026-03-25,2026-03-01,2026,hr,birokracija,pitanje_potreba,1,33,0,neutralan,NA,NA,217,42,2,0.7368421052631579,Da li je netko upoznat sa porezom na nasljeđe ako su roditelji u Hrvatskoj još živi a prepisali bi nekretninu na djecu koja su u DK? Ili znate nekog advokata koji je upoznat sa zakonima po tom pitanju.,Is anyone familiar with the inheritance tax if the parents are still alive in Croatia and they transfer the property to the children who are in DK? Or do you know a lawyer who is familiar with the laws in this matter.
22,2026-03-29,2026-03-01,2026,hr,obrtnici_usluge,ponuda_oglas,0,0,1,pozitivan,5,4,772,134,7,0.6724137931034483,"Da li imate kontrolu nad svojom ekonomijom – ili je radije izbegavate? Mnogi ljudi doživljavaju da ekonomija brzo može postati nejasna. Ne zato što nisu sposobni ili odgovorni – već zato što je svakodnevica užurbana, a budžeti, brojevi i sistemi mogu biti teški za rad. U REKON International nudimo uslugu koju nazivamo: „Vaš privatni knjigovođa“ Pomažemo vam da: • steknete pregled prihoda i rashoda • napravite realističan budžet • strukturišete ekonomiju u svakodnevnom životu • postignete mir oko ekonomskih odluka Ne radi se o kontroli vaše ekonomije – već o tome da vam pružimo pregled i sigurnost. Da li ste doživeli da ekonomija ponekad može biti teška za razumevanje? Kontaktirajte nas danas da saznate kako vam možemo pomoći! Tel. 24900048","Do you have control over your finances - or do you prefer to avoid them? Many people find that economics can quickly become murky. Not because they are not capable or responsible - but because everyday life is hectic, and budgets, numbers and systems can be difficult to work with. At REKON International, we offer a service we call: ""Your private accountant"" We help you to: • get an overview of income and expenses • make a realistic budget • structure the economy in everyday life • achieve peace of mind about economic decisions It's not about controlling your economy - it's about providing you with an overview and security. Have you experienced that economics can sometimes be difficult to understand? Contact us today to find out how we can help you! Tel. 24900048"
23,2026-03-24,2026-03-01,2026,hr,zdravstvo,pitanje_potreba,0,4,0,neutralan,NA,NA,196,38,2,0.8857142857142857,"Jel ide netko ovaj tjedan iz Hrvatske u Kopenhagen ? Trebao bi poslati lijekove za sina hitno, pa provjeravam da li ima kakva opcija da ne letim tamo-vamo ako ne trebam …","Is anyone going from Croatia to Copenhagen this week? You should send the medicine for my son urgently, so I'm checking to see if there's any option not to fly back and forth if I don't need to..."
24,2026-03-28,2026-03-01,2026,hr,ostalo,ostalo,0,0,0,neutralan,NA,NA,19,2,0,NA,Nazvati na 00385915673336,Call 00385915673336
25,2026-03-16,2026-03-01,2026,hr,obrtnici_usluge,pitanje_potreba,1,12,0,neutralan,NA,NA,53,10,1,1,Da li ima kakav nas mehanicar u hillerodu ili blizini hill,Are there any mechanics in hillerod or near the hill?
26,2026-03-23,2026-03-01,2026,hr,transport_putovanja,pitanje_potreba,1,8,3,pozitivan,3,0,257,50,3,0.8,"pozdrav svima, ja sam vozac kamiona, trenutno u njemackoj .planiran za dansku,pa me zanima ima li koji kolega koji je spreman pomoc oko pronalska posla . imam eu dokumente, c+e kod 95 i adr. spreman za sistem 6/2. hvala svima na pomoci","greetings to all, I'm a truck driver, currently in Germany, planned for Denmark, so I'm wondering if there are any colleagues who are ready to help me find a job. I have eu documents, c e code 95 and others. ready for system 6/2. thank you all for your help"
27,2026-03-25,2026-03-01,2026,hr,jezik_obrazovanje,pitanje_potreba,3,0,4,pozitivan,4,0,497,71,8,0.796875,"Online tečaj danskog Savršeno za početnike, ali i za one koji već imaju neko znanje jezika! Za osobe koje žive u Danskoj ili planiraju preseliti se tamo: https://www.dansksprogskole.dk Napravili smo ovaj video koji objašnjava program i mogućnosti u Dansk Sprogskole: https://www.youtube.com/watch?v=r6EmSJaihOg Možete početi čak i bez prethodnog znanja danskog jezika i dobiti pristup cijelom danskom obrazovnom sustavu. Tečaj je 100% BESPLATAN i dostupan ONLINE.","Online Danish course Perfect for beginners, but also for those who already have some knowledge of the language! For people living in Denmark or planning to move there: https://www.dansksprogskole.dk We made this video explaining the program and opportunities at Dansk Sprogskole: https://www.youtube.com/watch?v=r6EmSJaihOg You can start even without any previous knowledge of the Danish language and gain access to the entire Danish education system. The course is 100% FREE and available ONLINE."
28,2026-03-24,2026-03-01,2026,hr,jezik_obrazovanje,ponuda_oglas,7,10,1,pozitivan,2,1,358,62,5,0.7962962962962963,"Pozdrav, ja sam samohrana mama, i nekako sve vise razmisljam o Danskoj zbog obrazovanog sustav. S obzirom da ne znam jezik, kakve su nam sanse da nase posao, moze I cuvanje djece za pocetak. Inace radim s djecom s poteskocama. Koji grad bi nam bio najbolji s obzirom da smo sami. Moze malo koji savjet. Hvala","Hello, I'm a single mom, and somehow I'm thinking more and more about Denmark because of the education system. Given that I don't know the language, what are our chances of getting a job, maybe babysitting for a start. Otherwise, I work with children with difficulties. Which city would be best for us considering that we are alone. Maybe some advice. Thanks"
29,2026-03-11,2026-03-01,2026,hr,jezik_obrazovanje,ponuda_oglas,0,8,4,pozitivan,4,0,596,107,5,0.7078651685393258,"Pozdrav, ja sam Iris i originalno sam iz Zagreba. Zadnje dvije godine studiram u Aalborgu i u lipnju ću diplomirati te bih se krajem ljeta voljela preseliti u Copenhagen s dečkom (isto student u Aalborgu). Zanima me ima li itko neke informacije ili savjete vezano za traženje smještaja (učlanila sam se već u gupe na fb i pretražujem po njihovim bolig portalima). Također, ako netko ima savjet za traženje posla (imam MSc iz Biotehnologije) ili je čuo nešto, svaki savjet je dobrodošao i slobodno mi pišite u inbox. Hvala vam!!","Hello, I'm Iris and I'm originally from Zagreb. I have been studying in Aalborg for the last two years and I will graduate in June, and at the end of the summer I would like to move to Copenhagen with my boyfriend (also a student in Aalborg). I am interested in whether anyone has any information or advice regarding the search for accommodation (I have already joined groups on Facebook and am searching through their housing portals). Also, if anyone has any job hunting advice (I have an MSc in Biotechnology) or has heard anything, any advice is welcome and feel free to inbox me. Thank you!!"
30,2026-03-23,2026-03-01,2026,hr,stanovanje,pitanje_potreba,1,0,6,pozitivan,6,0,272,52,3,0.75,"Tražim stan za sebe i svoju obitelj u Kopenhagenu i okolici što je prije moguće. Mi smo mirne, odgovorne i uredne osobe koje traže siguran i stabilan dom. Ako imate stan za najam ili znate nešto slobodno, slobodno me kontaktirajte.","I am looking for an apartment for me and my family in and around Copenhagen as soon as possible. We are calm, responsible and tidy people who are looking for a safe and stable home. If you have an apartment for rent or know of something available, feel free to contact me."
31,2026-03-14,2026-03-01,2026,hr,transport_putovanja,pitanje_potreba,8,9,2,pozitivan,3,1,407,71,5,0.7666666666666667,"Pozdrav svima! Zanima me postoji li u Aarhusu ili okolici neka škola, tečaj ili grupa gdje djeca čiji su roditelji Hrvati mogu učiti hrvatski jezik (dopunska nastava ili nešto slično). Imam dijete koje bi voljelo učiti hrvatski i družiti se s drugom djecom koja govore hrvatski. Ako netko ima informacije ili kontakt, bila bih jako zahvalna. Hvala unaprijed!","Hello everyone! I would like to know if there is a school, course or group in Aarhus or the surrounding area where children whose parents are Croats can learn the Croatian language (remedial classes or something similar). I have a child who would like to learn Croatian and hang out with other children who speak Croatian. If anyone has information or a contact, I would be very grateful. Thanks in advance!"
32,2026-03-14,2026-03-01,2026,hr,obrtnici_usluge,pitanje_potreba,1,14,3,pozitivan,3,0,118,20,2,0.9375,"Pozdrav, ima li netko da ima knjigovodstveni servis? Ili da zna dobar knjigovodstveni servis za preporučiti? Hvala, Lp","Hello, does anyone have an accounting service? Or that he knows a good bookkeeping service to recommend? Thank you, Lp"
33,2026-03-19,2026-03-01,2026,hr,ostalo,pitanje_potreba,0,0,0,neutralan,NA,NA,66,9,2,1,Pozdrav. Putujeli netko mozda iz hrvatske za dansku sutra ?,Greeting. Maybe someone traveled from Croatia to Denmark tomorrow?
34,2026-03-19,2026-03-01,2026,hr,birokracija,pitanje_potreba,0,4,0,neutralan,1,1,96,19,0,1,"Pozdrav, molila bi ako netko zna di mogu dobiti potvrdu o nekažnjavanju u Danskoj","Hello, I would like to know if anyone knows where I can get a certificate of impunity in Denmark"
35,2026-03-14,2026-03-01,2026,hr,stanovanje,ponuda_oglas,4,2,6,pozitivan,6,0,760,149,11,0.6554621848739496,"Izdajem sobu u mom stanu na Amageru .U stanu zivim ja i moj macak Ziggy. Trazim zensku osobu koja ima svoj dobro organizovan zivot, studira ili radi i voli macke.Ja imam fini posao koji uzima puno mog vremena. Cjena je 4000kr bez adrese ili 5000kr sa adresom. Stan je na rastojanju od centralne zeljeznicke stanice na samo 13 minuta sa busom 5 c. Amager metro stanica je na 5 min rastojanja sa autobusom 5 C. Rema 1000 , Lidl i Discount 365 su na samo 5 minuta do stana, sa druge strane ulice je apoteka. Ja sam makedonka i do pre godinu dana sam izdavala sobu predivnoj devojci iz Rijeke s kojom smo se pravo dobro zivele zajedno. Zato sam dosla na ovoj stranici Pisite mi poruke na 31712404. Pozdrav Biba","I am renting out a room in my apartment on Amager. My cat Ziggy and I live in the apartment. I am looking for a female person who has a well-organized life, studies or works and loves cats. I have a nice job that takes a lot of my time. The price is 4000kr without address or 5000kr with address. The apartment is only 13 minutes away from the central railway station by bus 5 c. Amager metro station is 5 minutes away with bus 5 C. Rema 1000, Lidl and Discount 365 are only 5 minutes from the apartment, there is a pharmacy on the other side of the street. I'm Macedonian and until a year ago I rented a room to a beautiful girl from Rijeka with whom we lived really well together. That's why I came to this page. Write me messages at 31712404. Greetings Biba"
36,2026-03-14,2026-03-01,2026,hr,transport_putovanja,pitanje_potreba,1,13,0,neutralan,1,1,251,43,4,0.8918918918918919,"Pozdrav svima, Naime imamo psa koji trenutno ima 5mjeseci (staffordshire bull terrier). htjeli bi u lipnju ici za Hrvatsku no većina aviokompanija ne prevozi kratko-nosne ljubimce. Nazalost auto nemamo. Koje su opcije?","Hello everyone, Namely, we have a dog that is currently 5 months old (Staffordshire bull terrier). they would like to go to Croatia in June, but most airlines do not transport short-nosed pets. Unfortunately, we don't have a car. What are the options?"
37,2026-03-14,2026-03-01,2026,hr,stanovanje,pitanje_potreba,0,2,1,pozitivan,1,0,203,38,2,0.8484848484848485,"Pozdrav, Zanima me ako netko u grupi zivi i radi u Odenseu, trebala bi mi mala pomoc oko pronalazenja stana. Zna li netko osobu koja iznajmljuje stan ili trazi cimera?","Hello, I am interested if someone in the group lives and works in Odense, I would need a little help finding an apartment. Does anyone know a person who is renting an apartment or looking for a roommate?"
38,2026-03-12,2026-03-01,2026,da,ostalo,pitanje_potreba,36,0,1,pozitivan,1,0,37,8,1,1,Er du klar til weekend? Vi er,Are you ready for the weekend? We are
39,2026-02-28,2026-02-01,2026,hr,birokracija,pitanje_potreba,1,10,-1,negativan,2,3,444,90,4,0.7,"Pozdrav svima,imam pitanje za one koji znaju,mada je mozda vec kasno,naime radi se o povratu porez. Mislim da sam u malom problemu,unam da se mogu napraviti neke izmjene prije nogo se povrat poreza obracuna. Koj problem je u tome sto sam u 2026 g zaradio puno vise nego u prethodnim hodinama,pa me strah da povrata nece biti vec cu morati platiti neki porez. Moje pitanje je da li se tko razumije u to,i da li sad mogu nesto uciniti i kako? Lp","Hello everyone, I have a question for those who know, although it may be too late, it is about tax refunds. I think I'm in a bit of a problem, but some changes can be made before the tax refund is calculated. The problem is that in 2026 I earned much more than in the previous hours, so I'm afraid that there will be no refund, but I will have to pay some tax. My question is, does anyone understand this, and can I do something now and how? Lp"
40,2026-03-11,2026-03-01,2026,hr,stanovanje,pitanje_potreba,6,0,6,pozitivan,6,0,676,119,8,0.64,"Pozdrav svima, Ako je netko u potrazi sa smještajem, od 15.04. se nudi soba u kući u kvartu Vestamager / Ørestad. Ukupna kvadratura je 126m2 te ima dva wca, dva kata te kuća je već uredno opremljena i uređena te je dostupno privatno dvorište od nekih 20m2 kao i spremište. Živjeli biste s dva cimera, obojica rade / studiraju. Cijena najamnine bi bila oko 6200 dkk te polog od 6000 je potreban pri ulasku u kuću. Iznajmljivanje garaže ispod kuće je takoder moguć. Ako je netko zainteresiran te ako ima dodatnih pitanja, slobodno mi se javite u privatnim porukama. Hvala i lijepi pozdrav","Hello everyone, If anyone is looking for accommodation, from 15.04. is offered a room in a house in the neighborhood of Vestamager / Ørestad. The total square footage is 126m2 and has two toilets, two floors, and the house is already properly furnished and decorated, and a private yard of some 20m2 is available as well as a storage room. You would live with two roommates, both working / studying. The rent would be around DKK 6,200, and a deposit of DKK 6,000 is required when entering the house. Renting a garage under the house is also possible. If anyone is interested and has additional questions, feel free to contact me in private messages. Thank you and best regards"
41,2026-03-11,2026-03-01,2026,hr,ostalo,pitanje_potreba,1,1,0,neutralan,NA,NA,80,16,1,0.9230769230769231,"Tražim cistacicu u Valby. Ako je tko zainteresiran, javite se","I am looking for a cleaning lady in Valby. If anyone is interested, get in touch"
42,2026-03-11,2026-03-01,2026,hr,posao,pitanje_potreba,0,1,4,pozitivan,5,1,862,162,5,0.5846153846153846,"Vozac CE firme Bok ekipa, zivim u Svedskoj 11 godina, imam svedsku putovnicu, slobodan sam ovaj te sljedeci tjedan te sam danas dosao u Kopenhagen autom, sutra se dajem u akciju trazenja posla di se vozi kamio CE, trazim posao di je placa po sindikatu 3F ATL, te trazim posao di se radi turnus. Ne zanimaju me firme koje ne placaju prema 3F ATL. Jel mi mozete preporuciti neke firme di bi mogao doci, prezenitrati se, nakratko porazgovarati sa dispacherom, znam svedski, engleski, imam CE, ADR. Mozete mi i preporuciti neke ""tvornice, terminale "" di ima hrpa kamiona, pozeljno di su vozaci sa ""normalnim"" placama, a ne ovi jadni ljudi sta voze slepericu za kikiriki. Ozbiljan sam, zanima me normalna danska firma. Hvala pozdrav","Driver of the CE company Hello team, I have lived in Sweden for 11 years, I have a Swedish passport, I am free this week and next week and today I came to Copenhagen by car, tomorrow I am going to start a job search campaign where I drive a CE truck, I am looking for a job where the salary is according to the union 3F ATL, and I am looking for a job where there is a rotation. I am not interested in companies that do not pay according to 3F ATL. Can you recommend some companies where I could come, get acquainted, talk briefly with the dispatcher, I know Swedish, English, I have CE, ADR. You can also recommend me some ""factories, terminals"" where there are a lot of trucks, preferably where there are drivers with ""normal"" wages, and not these poor people who drive peanut trucks. I'm serious, I'm interested in a normal Danish company. Thank you greetings"
43,2026-03-11,2026-03-01,2026,hr,transport_putovanja,ostalo,6,0,1,pozitivan,1,0,142,26,2,0.8333333333333334,"Putujem iz Koldinga za Osijek 28.3., povratak 6.4. Ako je netko zainteresiran za prijevoz, slobodno se javite.","I am traveling from Kolding to Osijek on March 28, returning on April 6. If anyone is interested in transportation, feel free to get in touch."
44,2026-03-08,2026-03-01,2026,hr,stanovanje,pitanje_potreba,1,1,0,neutralan,1,1,297,54,6,0.875,"Pozdrav svima! Dolazim u Aarhus na mjesec dana (1.4.-25.4.) da odradim dio svog diplomskog rada na njihovom fakultetu pa mi treba smještaj za taj period. Nažalost, sve studentske sobe što sam dosad našao su ugovori od barem 6 mjeseci stoga bilo bi super ako imate neke savjete/opcije; hvala unaprijed","Hello everyone! I am coming to Aarhus for a month (1.4.-25.4.) to do part of my thesis at their university, so I need accommodation for that period. Unfortunately, all the dorms I've found so far are at least 6 month contracts so it would be great if you have any advice/options; thanks in advance"
